,hour_period,day,Avg duration
128,08:00-09:00,Tuesday,3.7939090909090907
129,09:00-10:00,Tuesday,4.56465625
130,10:00-11:00,Tuesday,3.5825714285714283
131,11:00-12:00,Tuesday,3.926086956521739
132,12:00-13:00,Tuesday,3.120388888888889
133,13:00-14:00,Tuesday,3.9193333333333333
134,14:00-15:00,Tuesday,4.203375
135,15:00-16:00,Tuesday,2.707869565217391
136,16:00-17:00,Tuesday,4.897431818181818
137,17:00-18:00,Tuesday,4.242739130434782
138,18:00-19:00,Tuesday,5.149146341463415
139,19:00-20:00,Tuesday,4.267166666666666
140,20:00-21:00,Tuesday,3.585391304347826
141,21:00-22:00,Tuesday,5.509083333333333
142,22:00-23:00,Tuesday,3.1456250000000003
143,23:00-24:00,Tuesday,3.625
144,00:00-01:00,Wednesday,3.333
145,01:00-02:00,Wednesday,3.983333333333333
146,02:00-03:00,Wednesday,8.55
147,03:00-04:00,Wednesday,11.333333333333334
148,04:00-05:00,Wednesday,6.437652173913044
149,05:00-06:00,Wednesday,5.860222222222222
150,06:00-07:00,Wednesday,5.604
151,07:00-08:00,Wednesday,3.9792083333333337
152,08:00-09:00,Wednesday,3.8244
153,09:00-10:00,Wednesday,3.4225000000000003
154,10:00-11:00,Wednesday,5.131923076923077
155,11:00-12:00,Wednesday,3.104590909090909
156,12:00-13:00,Wednesday,3.2273
157,13:00-14:00,Wednesday,3.3377368421052633
158,14:00-15:00,Wednesday,4.6303214285714285
159,15:00-16:00,Wednesday,3.4139
160,16:00-17:00,Wednesday,3.9508648648648643
161,17:00-18:00,Wednesday,3.2495483870967745
162,18:00-19:00,Wednesday,4.008394736842105
163,19:00-20:00,Wednesday,3.003108108108108
164,20:00-21:00,Wednesday,4.943944444444444
165,21:00-22:00,Wednesday,3.292133333333333
166,22:00-23:00,Wednesday,5.2696875
167,23:00-24:00,Wednesday,3.3388333333333335
