,user_id,date,year,month,day,hour,minute,second,hour_period,duration_min
5734,2437,2016-09-11,2016,Sep,Sunday,8,53,28,08:30-09:00,0.167
5735,6323,2017-05-06,2017,May,Saturday,11,27,2,11:00-11:30,0.167
5736,2437,2016-09-10,2016,Sep,Saturday,15,27,3,15:00-15:30,7.9
5737,2437,2017-01-12,2017,Jan,Thursday,0,23,1,00:00-00:30,0.483
5738,2437,2016-07-22,2016,Jul,Friday,10,35,1,10:30-11:00,0.167
5739,2437,2016-08-11,2016,Aug,Thursday,10,45,51,10:30-11:00,0.167
5740,2437,2017-02-19,2017,Feb,Sunday,19,12,3,19:00-19:30,0.667
5741,2437,2016-11-21,2016,Nov,Monday,17,32,57,17:30-18:00,0.433
5742,2437,2017-07-13,2017,Jul,Thursday,19,51,21,19:30-20:00,3.183
5743,6323,2017-03-24,2017,Mar,Friday,13,33,23,13:30-14:00,1.867
5744,2437,2016-08-14,2016,Aug,Sunday,6,54,32,06:30-07:00,0.167
5745,6323,2017-02-25,2017,Feb,Saturday,23,30,35,23:30-24:00,2.2
5746,2437,2017-05-06,2017,May,Saturday,18,9,40,18:00-18:30,0.167
5747,2437,2016-07-03,2016,Jul,Sunday,21,2,45,21:00-21:30,2.667
5748,2437,2016-07-19,2016,Jul,Tuesday,16,0,52,16:00-16:30,6.167
5749,2437,2016-11-11,2016,Nov,Friday,20,49,19,20:30-21:00,2.167
5750,2437,2017-02-24,2017,Feb,Friday,22,15,3,22:00-22:30,2.0
5751,2437,2016-09-07,2016,Sep,Wednesday,20,5,2,20:00-20:30,0.167
5752,2437,2016-07-10,2016,Jul,Sunday,10,36,14,10:30-11:00,1.0
5753,2437,2016-09-26,2016,Sep,Monday,7,50,30,07:30-08:00,0.167
5754,2437,2017-01-13,2017,Jan,Friday,20,28,5,20:00-20:30,1.333
5755,2437,2017-04-11,2017,Apr,Tuesday,11,47,23,11:30-12:00,0.167
5756,6323,2016-09-13,2016,Sep,Tuesday,20,55,22,20:30-21:00,1.0
5757,2437,2016-08-15,2016,Aug,Monday,13,5,52,13:00-13:30,0.333
5758,6323,2017-05-03,2017,May,Wednesday,16,58,50,16:30-17:00,0.133
5759,2437,2016-12-16,2016,Dec,Friday,12,29,46,12:00-12:30,1.617
5760,6323,2017-05-07,2017,May,Sunday,21,9,15,21:00-21:30,3.0
5761,2437,2016-11-07,2016,Nov,Monday,8,13,18,08:00-08:30,0.5
5762,2437,2016-09-11,2016,Sep,Sunday,12,15,29,12:00-12:30,1.667
5763,2437,2017-02-03,2017,Feb,Friday,5,33,52,05:30-06:00,0.5
5764,2437,2016-11-01,2016,Nov,Tuesday,11,8,42,11:00-11:30,0.167
5765,2437,2016-09-30,2016,Sep,Friday,18,44,6,18:30-19:00,1.833
5766,2437,2016-11-11,2016,Nov,Friday,11,5,17,11:00-11:30,0.5
5767,6323,2016-09-04,2016,Sep,Sunday,0,12,7,00:00-00:30,0.5
5768,2437,2017-03-04,2017,Mar,Saturday,15,52,3,15:30-16:00,0.167
5769,2437,2016-08-17,2016,Aug,Wednesday,21,13,29,21:00-21:30,0.167
5770,2437,2016-12-27,2016,Dec,Tuesday,14,42,6,14:30-15:00,3.333
5771,2437,2017-06-02,2017,Jun,Friday,5,40,59,05:30-06:00,0.167
5772,2437,2016-07-10,2016,Jul,Sunday,18,9,27,18:00-18:30,0.333
5773,2437,2016-08-25,2016,Aug,Thursday,8,24,10,08:00-08:30,0.167
5774,2437,2016-08-26,2016,Aug,Friday,9,12,12,09:00-09:30,2.217
5775,2437,2016-07-22,2016,Jul,Friday,19,50,34,19:30-20:00,0.333
5776,2437,2016-09-04,2016,Sep,Sunday,10,9,58,10:00-10:30,0.167
5777,6323,2017-02-24,2017,Feb,Friday,15,38,48,15:30-16:00,1.0
5778,2437,2016-10-18,2016,Oct,Tuesday,14,43,8,14:30-15:00,0.167
5779,2437,2017-05-10,2017,May,Wednesday,11,25,16,11:00-11:30,0.767
5780,2437,2016-07-21,2016,Jul,Thursday,16,8,44,16:00-16:30,0.333
5781,2437,2016-08-12,2016,Aug,Friday,8,50,20,08:30-09:00,0.667
5782,2437,2016-11-15,2016,Nov,Tuesday,7,47,4,07:30-08:00,0.667
5783,6323,2016-11-14,2016,Nov,Monday,0,12,8,00:00-00:30,1.0
5784,6323,2016-11-29,2016,Nov,Tuesday,20,18,30,20:00-20:30,1.167
5785,6323,2016-11-06,2016,Nov,Sunday,19,35,9,19:30-20:00,0.283
5786,2437,2017-04-05,2017,Apr,Wednesday,18,21,22,18:00-18:30,0.167
5787,2437,2016-11-22,2016,Nov,Tuesday,20,2,16,20:00-20:30,0.333
5788,6323,2017-04-07,2017,Apr,Friday,14,24,13,14:00-14:30,13.883
5789,6323,2016-12-31,2016,Dec,Saturday,23,27,33,23:00-23:30,2.767
5790,2437,2017-01-05,2017,Jan,Thursday,19,8,11,19:00-19:30,0.167
5791,2437,2016-09-05,2016,Sep,Monday,7,44,19,07:30-08:00,0.333
5792,2437,2016-08-31,2016,Aug,Wednesday,10,2,14,10:00-10:30,2.683
5793,2437,2016-07-27,2016,Jul,Wednesday,13,38,24,13:30-14:00,0.333
5794,6323,2017-02-21,2017,Feb,Tuesday,19,49,30,19:30-20:00,0.283
5795,2437,2017-03-22,2017,Mar,Wednesday,19,57,53,19:30-20:00,1.167
5796,2437,2016-07-03,2016,Jul,Sunday,14,14,1,14:00-14:30,1.0
5797,6323,2016-12-18,2016,Dec,Sunday,19,36,47,19:30-20:00,9.15
5798,2437,2016-07-13,2016,Jul,Wednesday,10,49,18,10:30-11:00,0.667
5799,6323,2016-09-13,2016,Sep,Tuesday,7,29,12,07:00-07:30,0.167
5800,2437,2017-02-19,2017,Feb,Sunday,19,18,51,19:00-19:30,0.5
5801,6323,2017-01-04,2017,Jan,Wednesday,21,36,13,21:30-22:00,0.317
5802,6323,2017-05-05,2017,May,Friday,13,21,17,13:00-13:30,0.667
5803,2437,2017-05-29,2017,May,Monday,4,47,7,04:30-05:00,1.367
5804,6323,2016-10-07,2016,Oct,Friday,0,49,27,00:30-01:00,130.033
5805,2437,2016-10-10,2016,Oct,Monday,20,2,13,20:00-20:30,2.833
5806,2437,2016-08-08,2016,Aug,Monday,12,27,24,12:00-12:30,1.5
5807,2437,2017-04-18,2017,Apr,Tuesday,13,21,55,13:00-13:30,0.333
5808,2437,2016-07-09,2016,Jul,Saturday,20,29,50,20:00-20:30,0.5
5809,6323,2017-02-04,2017,Feb,Saturday,19,24,31,19:00-19:30,0.167
5810,6323,2017-03-09,2017,Mar,Thursday,22,2,21,22:00-22:30,0.167
5811,2437,2017-05-06,2017,May,Saturday,23,1,29,23:00-23:30,0.167
5812,2437,2017-01-25,2017,Jan,Wednesday,19,58,27,19:30-20:00,1.833
5813,2437,2016-12-13,2016,Dec,Tuesday,10,36,50,10:30-11:00,4.717
5814,2437,2016-11-13,2016,Nov,Sunday,13,37,4,13:30-14:00,0.667
5815,6323,2017-05-05,2017,May,Friday,12,25,10,12:00-12:30,0.667
5816,6323,2016-11-19,2016,Nov,Saturday,15,47,5,15:30-16:00,4.35
5817,6323,2016-11-17,2016,Nov,Thursday,8,35,30,08:30-09:00,0.483
5818,6323,2017-03-28,2017,Mar,Tuesday,19,18,2,19:00-19:30,0.167
5819,2437,2016-11-21,2016,Nov,Monday,12,45,48,12:30-13:00,0.4
5820,2437,2016-12-14,2016,Dec,Wednesday,10,58,50,10:30-11:00,0.333
5821,2437,2016-07-11,2016,Jul,Monday,12,56,1,12:30-13:00,2.333
5822,2437,2016-12-02,2016,Dec,Friday,10,32,20,10:30-11:00,0.15
5823,2437,2016-08-05,2016,Aug,Friday,11,19,54,11:00-11:30,0.683
5824,2437,2016-11-30,2016,Nov,Wednesday,23,56,48,23:30-24:00,4.217
5825,2437,2017-02-22,2017,Feb,Wednesday,18,47,29,18:30-19:00,5.0
5826,2437,2016-10-02,2016,Oct,Sunday,13,16,6,13:00-13:30,0.25
5827,2437,2017-05-12,2017,May,Friday,20,29,54,20:00-20:30,0.333
5828,2437,2016-07-15,2016,Jul,Friday,11,7,48,11:00-11:30,3.5
5829,2437,2016-11-03,2016,Nov,Thursday,16,43,36,16:30-17:00,1.5
5830,2437,2016-07-13,2016,Jul,Wednesday,21,32,50,21:30-22:00,0.167
5831,6323,2016-09-22,2016,Sep,Thursday,16,56,6,16:30-17:00,5.683
5832,2437,2016-09-11,2016,Sep,Sunday,10,9,34,10:00-10:30,0.5
5833,2437,2017-01-10,2017,Jan,Tuesday,6,40,9,06:30-07:00,0.333
5834,2437,2017-01-10,2017,Jan,Tuesday,10,4,57,10:00-10:30,0.333
5835,2437,2017-03-29,2017,Mar,Wednesday,15,16,15,15:00-15:30,0.5
5836,2437,2016-07-10,2016,Jul,Sunday,21,59,50,21:30-22:00,0.333
5837,2437,2016-09-24,2016,Sep,Saturday,5,48,2,05:30-06:00,0.483
5838,6323,2016-08-24,2016,Aug,Wednesday,22,11,47,22:00-22:30,0.917
5839,2437,2017-02-19,2017,Feb,Sunday,10,36,50,10:30-11:00,1.667
5840,6323,2017-01-31,2017,Jan,Tuesday,14,57,42,14:30-15:00,0.167
5841,2437,2017-02-16,2017,Feb,Thursday,16,41,54,16:30-17:00,8.333
5842,2437,2016-12-13,2016,Dec,Tuesday,8,39,48,08:30-09:00,1.167
5843,2437,2016-08-07,2016,Aug,Sunday,17,15,35,17:00-17:30,1.35
5844,2437,2017-07-13,2017,Jul,Thursday,20,36,35,20:30-21:00,0.667
5845,2437,2017-04-17,2017,Apr,Monday,14,45,3,14:30-15:00,1.167
5846,2437,2017-01-05,2017,Jan,Thursday,15,13,59,15:00-15:30,0.833
5847,2437,2016-12-25,2016,Dec,Sunday,21,58,9,21:30-22:00,1.35
5848,2437,2017-07-03,2017,Jul,Monday,14,1,7,14:00-14:30,2.167
5849,2437,2017-02-20,2017,Feb,Monday,19,11,47,19:00-19:30,1.1
5850,2437,2016-08-24,2016,Aug,Wednesday,19,36,22,19:30-20:00,0.833
5851,6323,2016-11-02,2016,Nov,Wednesday,10,20,56,10:00-10:30,0.167
5852,2437,2016-11-23,2016,Nov,Wednesday,10,57,14,10:30-11:00,0.333
5853,2437,2017-01-26,2017,Jan,Thursday,8,31,17,08:30-09:00,4.833
5854,2437,2017-01-13,2017,Jan,Friday,13,10,58,13:00-13:30,0.05
5855,6323,2016-09-27,2016,Sep,Tuesday,12,35,11,12:30-13:00,0.383
5856,2437,2016-11-03,2016,Nov,Thursday,12,4,28,12:00-12:30,0.167
5857,2437,2017-01-30,2017,Jan,Monday,18,40,15,18:30-19:00,0.667
5858,2437,2016-11-05,2016,Nov,Saturday,7,4,21,07:00-07:30,0.333
5859,2437,2016-08-26,2016,Aug,Friday,21,47,26,21:30-22:00,0.333
5860,2437,2016-11-25,2016,Nov,Friday,23,13,14,23:00-23:30,0.167
5861,2437,2016-09-13,2016,Sep,Tuesday,10,10,8,10:00-10:30,0.633
5862,2437,2017-01-25,2017,Jan,Wednesday,20,3,37,20:00-20:30,0.5
5863,2437,2016-08-27,2016,Aug,Saturday,17,56,11,17:30-18:00,0.667
5864,2437,2016-07-27,2016,Jul,Wednesday,12,53,31,12:30-13:00,0.167
5865,6323,2016-08-15,2016,Aug,Monday,18,28,52,18:00-18:30,0.167
5866,2437,2017-03-28,2017,Mar,Tuesday,11,37,13,11:30-12:00,0.5
5867,2437,2016-11-30,2016,Nov,Wednesday,8,46,18,08:30-09:00,0.333
5868,2437,2017-06-02,2017,Jun,Friday,15,57,18,15:30-16:00,0.167
5869,2437,2017-04-18,2017,Apr,Tuesday,21,13,15,21:00-21:30,0.167
5870,6323,2016-09-12,2016,Sep,Monday,13,24,26,13:00-13:30,0.217
5871,6323,2016-11-14,2016,Nov,Monday,20,48,19,20:30-21:00,0.167
5872,6323,2017-03-03,2017,Mar,Friday,22,24,55,22:00-22:30,0.333
5873,2437,2016-07-05,2016,Jul,Tuesday,11,23,49,11:00-11:30,2.833
5874,2437,2017-04-18,2017,Apr,Tuesday,6,20,50,06:00-06:30,0.033
5875,2437,2016-08-17,2016,Aug,Wednesday,14,18,1,14:00-14:30,0.167
5876,6323,2017-03-07,2017,Mar,Tuesday,1,53,22,01:30-02:00,3.167
5877,2437,2016-12-16,2016,Dec,Friday,13,21,51,13:00-13:30,0.133
5878,2437,2016-07-13,2016,Jul,Wednesday,21,1,18,21:00-21:30,0.333
5879,2437,2017-02-27,2017,Feb,Monday,16,33,43,16:30-17:00,0.167
5880,2437,2016-10-30,2016,Oct,Sunday,19,27,5,19:00-19:30,0.333
5881,2437,2017-07-23,2017,Jul,Sunday,18,40,0,18:30-19:00,0.333
5882,2437,2017-07-23,2017,Jul,Sunday,17,48,52,17:30-18:00,0.983
5883,2437,2017-01-30,2017,Jan,Monday,15,8,8,15:00-15:30,0.5
5884,2437,2016-10-11,2016,Oct,Tuesday,5,6,14,05:00-05:30,0.5
5885,2437,2017-07-18,2017,Jul,Tuesday,14,4,34,14:00-14:30,1.0
5886,2437,2016-09-05,2016,Sep,Monday,10,49,23,10:30-11:00,0.167
5887,2437,2016-11-18,2016,Nov,Friday,7,1,2,07:00-07:30,0.167
5888,2437,2017-03-30,2017,Mar,Thursday,8,43,51,08:30-09:00,1.0
5889,6323,2016-11-14,2016,Nov,Monday,20,40,58,20:30-21:00,1.333
5890,2437,2016-11-22,2016,Nov,Tuesday,20,13,6,20:00-20:30,0.367
5891,2437,2016-11-17,2016,Nov,Thursday,16,27,32,16:00-16:30,2.45
5892,2437,2017-01-10,2017,Jan,Tuesday,9,54,5,09:30-10:00,0.783
5893,2437,2016-10-01,2016,Oct,Saturday,23,8,16,23:00-23:30,1.0
5894,2437,2017-01-20,2017,Jan,Friday,1,10,43,01:00-01:30,0.333
5895,2437,2016-08-11,2016,Aug,Thursday,11,18,11,11:00-11:30,0.333
5896,2437,2017-01-27,2017,Jan,Friday,8,42,44,08:30-09:00,8.667
5897,2437,2017-04-25,2017,Apr,Tuesday,8,48,47,08:30-09:00,1.333
5898,2437,2017-04-26,2017,Apr,Wednesday,21,16,55,21:00-21:30,0.167
5899,2437,2016-07-05,2016,Jul,Tuesday,16,33,21,16:30-17:00,0.683
5900,2437,2016-07-19,2016,Jul,Tuesday,9,29,55,09:00-09:30,4.167
5901,2437,2017-04-24,2017,Apr,Monday,16,9,26,16:00-16:30,0.867
5902,6323,2017-01-10,2017,Jan,Tuesday,0,40,33,00:30-01:00,1.5
5903,2437,2016-08-15,2016,Aug,Monday,10,56,4,10:30-11:00,1.0
5904,6323,2016-09-12,2016,Sep,Monday,14,32,8,14:30-15:00,1.383
5905,2437,2017-02-24,2017,Feb,Friday,10,10,16,10:00-10:30,1.667
5906,2437,2016-11-18,2016,Nov,Friday,7,1,12,07:00-07:30,0.167
5907,2437,2016-11-26,2016,Nov,Saturday,13,54,51,13:30-14:00,0.167
5908,2437,2016-10-15,2016,Oct,Saturday,12,36,29,12:30-13:00,0.167
5909,2437,2017-01-24,2017,Jan,Tuesday,18,55,42,18:30-19:00,0.167
5910,2437,2017-01-10,2017,Jan,Tuesday,21,28,30,21:00-21:30,0.55
