,index,duration_min,session,day,Dialy_Average,percentage
97,2017-09-08,5.1,5,Friday,1.3,2.923076923076923
98,2017-09-09,3.5,4,Saturday,1.6,1.1874999999999998
99,2017-09-10,6.083,3,Sunday,1.5,3.0553333333333335
100,2017-09-11,7.634,6,Monday,1.4,4.452857142857143
101,2017-09-12,17.484,4,Tuesday,1.4,11.488571428571431
102,2017-09-13,0.0,0,Wednesday,1.4,-1.0
103,2017-09-14,3.984,4,Thursday,1.3,2.0646153846153847
104,2017-09-15,1.067,3,Friday,1.3,-0.1792307692307693
105,2017-09-16,1.234,3,Saturday,1.6,-0.22875000000000006
106,2017-09-17,0.0,0,Sunday,1.5,-1.0
107,2017-09-18,6.184,4,Monday,1.4,3.4171428571428577
108,2017-09-19,1.45,2,Tuesday,1.4,0.03571428571428575
109,2017-09-20,6.334,4,Wednesday,1.4,3.524285714285714
110,2017-09-21,3.6340000000000003,5,Thursday,1.3,1.7953846153846158
111,2017-09-22,2.8509999999999995,4,Friday,1.3,1.1930769230769227
112,2017-09-23,2.967,2,Saturday,1.6,0.854375
113,2017-09-24,0.0,0,Sunday,1.5,-1.0
114,2017-09-25,1.766,2,Monday,1.4,0.2614285714285715
115,2017-09-26,0.0,0,Tuesday,1.4,-1.0
116,2017-09-27,7.166,10,Wednesday,1.4,4.118571428571429
117,2017-09-28,0.35000000000000003,2,Thursday,1.3,-0.7307692307692307
118,2017-09-29,4.517999999999999,5,Friday,1.3,2.4753846153846144
119,2017-09-30,6.566,2,Saturday,1.6,3.1037499999999993
120,2017-10-01,4.5,3,Sunday,1.5,2.0
121,2017-10-02,1.0010000000000001,3,Monday,1.4,-0.28499999999999986
122,2017-10-03,2.583,1,Tuesday,1.4,0.8450000000000002
123,2017-10-04,1.0,1,Wednesday,1.4,-0.28571428571428564
124,2017-10-05,2.334,3,Thursday,1.3,0.7953846153846154
125,2017-10-06,4.534,4,Friday,1.3,2.4876923076923076
126,2017-10-07,3.834,3,Saturday,1.6,1.39625
127,2017-10-08,6.1499999999999995,3,Sunday,1.5,3.0999999999999996
128,2017-10-09,0.167,1,Monday,1.4,-0.8807142857142857
129,2017-10-10,6.700000000000001,5,Tuesday,1.4,3.7857142857142865
130,2017-10-11,2.067,3,Wednesday,1.4,0.47642857142857165
131,2017-10-12,2.001,3,Thursday,1.3,0.5392307692307691
132,2017-10-13,0.9159999999999999,3,Friday,1.3,-0.29538461538461547
133,2017-10-14,16.15,4,Saturday,1.6,9.093749999999998
134,2017-10-15,1.0,4,Sunday,1.5,-0.3333333333333333
135,2017-10-16,1.2670000000000001,3,Monday,1.4,-0.09499999999999985
136,2017-10-17,0.167,1,Tuesday,1.4,-0.8807142857142857
137,2017-10-18,0.0,0,Wednesday,1.4,-1.0
138,2017-10-19,10.999,5,Thursday,1.3,7.46076923076923
139,2017-10-20,11.168,8,Friday,1.3,7.590769230769229
140,2017-10-21,2.684,5,Saturday,1.6,0.6775
141,2017-10-22,0.317,1,Sunday,1.5,-0.7886666666666667
142,2017-10-23,38.616,4,Monday,1.4,26.582857142857144
143,2017-10-24,20.75,7,Tuesday,1.4,13.821428571428573
144,2017-10-25,19.85,3,Wednesday,1.4,13.17857142857143
145,2017-10-26,5.767,4,Thursday,1.3,3.4361538461538466
146,2017-10-27,3.917,4,Friday,1.3,2.013076923076923
147,2017-10-28,4.366,4,Saturday,1.6,1.7287499999999996
148,2017-10-29,0.0,0,Sunday,1.5,-1.0
149,2017-10-30,8.667,2,Monday,1.4,5.190714285714286
150,2017-10-31,0.334,2,Tuesday,1.4,-0.7614285714285713
151,2017-11-01,6.867,3,Wednesday,1.4,3.9050000000000007
152,2017-11-02,8.134,4,Thursday,1.3,5.256923076923077
153,2017-11-03,21.567,8,Friday,1.3,15.59
154,2017-11-04,5.7,6,Saturday,1.6,2.5624999999999996
155,2017-11-05,15.667,6,Sunday,1.5,9.444666666666667
156,2017-11-06,3.783,2,Monday,1.4,1.7021428571428572
157,2017-11-07,17.583,7,Tuesday,1.4,11.559285714285714
158,2017-11-08,2.0,1,Wednesday,1.4,0.42857142857142866
159,2017-11-09,0.0,0,Thursday,1.3,-1.0
