date,duration_min,session
2018-01-16,6.8,3
2018-01-17,0.033,1
2018-01-18,2.1340000000000003,6
2018-01-19,10.65,3
2018-01-20,3.15,5
2018-01-21,4.934,4
2018-01-22,4.05,3
2018-01-23,1.35,2
2018-01-24,9.517,1
2018-01-25,0.483,2
2018-01-26,2.084,5
2018-01-27,6.166,7
2018-01-28,7.5,4
2018-01-29,2.1830000000000003,2
2018-01-30,11.315999999999999,5
2018-01-31,2.167,2
2018-02-01,5.167,3
2018-02-02,0.367,1
2018-02-03,2.5,2
2018-02-04,0.517,1
2018-02-05,14.016,4
2018-02-06,0.667,1
2018-02-07,23.568000000000005,6
2018-02-08,4.349,7
2018-02-09,18.35,1
2018-02-10,3.0,2
2018-02-11,0.167,1
2018-02-12,7.833,4
2018-02-13,3.45,3
2018-02-14,14.5,3
2018-02-15,1.833,1
2018-02-16,1.167,1
2018-02-17,0.167,1
2018-02-18,0.334,2
2018-02-19,1.167,4
2018-02-21,0.167,1
2018-02-22,5.067,3
2018-02-23,0.167,1
2018-02-24,3.716,2
2018-02-26,13.051,4
2018-02-27,8.817,5
2018-02-28,15.383,4
2018-03-01,9.15,5
2018-03-02,0.9670000000000001,2
2018-03-03,2.184,2
2018-03-04,4.833,3
2018-03-05,2.517,3
2018-03-07,0.25,2
2018-03-08,0.167,1
2018-03-09,4.034,5
2018-03-10,0.784,3
2018-03-11,0.8340000000000001,2
2018-03-12,1.167,2
2018-03-13,2.6350000000000002,5
2018-03-14,12.85,1
2018-03-15,0.9500000000000001,4
2018-03-16,2.783,2
2018-03-17,1.9160000000000001,3
2018-03-18,5.683,3
2018-03-19,4.4159999999999995,7
2018-03-20,5.0169999999999995,5
2018-03-21,4.183,2
2018-03-22,1.6680000000000001,4
2018-03-23,0.234,2
2018-03-24,1.2000000000000002,5
2018-03-25,5.25,2
2018-03-26,5.2330000000000005,4
2018-03-27,1.0,1
2018-03-28,2.667,2
2018-03-29,2.667,2
2018-03-30,13.95,4
2018-03-31,0.417,1
2018-04-01,2.867,4
2018-04-03,0.401,3
2018-04-04,1.334,4
2018-04-05,0.383,3
2018-04-06,3.2510000000000003,3
2018-04-07,11.667000000000002,5
2018-04-08,8.850999999999999,4
2018-04-09,1.633,1
2018-04-10,3.383,5
2018-04-11,1.651,6
2018-04-12,2.3339999999999996,2
2018-04-13,2.301,4
2018-04-14,5.183999999999999,3
2018-04-15,4.034,2
2018-04-16,1.816,3
2018-04-17,0.167,1
2018-04-18,2.901,6
2018-04-19,6.35,2
2018-04-20,4.667,2
2018-04-21,0.55,3
2018-04-22,0.5,1
2018-04-23,6.517,6
2018-04-24,0.833,3
2018-04-25,1.016,4
2018-04-26,6.117,6
2018-04-27,5.167,9
2018-04-28,0.667,3
2018-04-29,0.8999999999999999,4
2018-04-30,0.667,2
2018-05-01,3.25,2
2018-05-02,2.066,4
2018-05-03,3.8840000000000003,7
2018-05-04,2.317,5
2018-05-06,2.784,2
2018-05-07,6.4,6
2018-05-08,2.8,1
2018-05-09,3.7,5
2018-05-10,7.899,6
2018-05-11,3.8339999999999996,3
2018-05-12,0.833,1
2018-05-13,1.55,3
2018-05-14,0.4,2
2018-05-15,28.000999999999998,6
2018-05-16,34.833,8
2018-05-17,3.8,4
2018-05-19,2.5009999999999994,3
2018-05-20,17.968,5
2018-05-21,0.667,2
2018-05-22,4.983,3
2018-05-23,0.167,1
2018-05-24,5.116999999999999,9
2018-05-25,2.75,3
2018-05-26,2.833,2
2018-05-27,4.667,1
2018-05-28,11.2,3
2018-05-29,0.5,2
2018-05-30,1.3499999999999999,4
2018-05-31,7.383,3
2018-06-01,2.634,6
2018-06-02,5.166,6
2018-06-03,6.167,2
2018-06-04,3.684,4
2018-06-05,1.4840000000000002,4
2018-06-06,2.801,3
2018-06-07,0.5,1
2018-06-08,1.3170000000000002,4
2018-06-09,4.6499999999999995,5
2018-06-10,11.25,4
2018-06-11,1.5,3
2018-06-12,1.2510000000000001,4
2018-06-13,1.167,2
2018-06-14,4.033,7
2018-06-15,6.618,6
2018-06-16,6.65,4
2018-06-17,8.484,5
2018-06-18,1.583,4
2018-06-19,0.501,3
2018-06-20,4.584,8
2018-06-21,3.0330000000000004,3
2018-06-22,15.367,5
2018-06-23,12.299,9
2018-06-24,11.517999999999999,4
2018-06-25,5.3839999999999995,2
2018-06-26,0.8,3
2018-06-27,2.334,4
2018-06-28,6.699000000000001,3
2018-06-29,0.8340000000000001,2
2018-06-30,0.833,3
2018-07-01,3.0,3
2018-07-02,0.083,1
2018-07-03,3.5,4
2018-07-04,2.25,4
2018-07-05,0.15,1
2018-07-06,2.783,5
2018-07-07,9.533000000000001,6
